index,mape_M0,mape_M1,mape_M2,mape_M3,mape_M4,mape_M5,mape_M6,mape_M7,mape_M8,mape_M9,mape_M10,mape_M11,mape_M12,mape_M13
1,12.609163154848583,12.71281013602217,12.739739194409497,12.549561374990187,12.91256946275924,12.826959602140967,12.705674994255595,60.67429479620402,17.665514236369784,11.02795890731456,11.01553351674126,11.020164919168481,11.045309625141519,11.437899935073407
2,19.260582587427642,19.74308273787438,19.694856107969834,19.57624727602566,19.52006108207841,19.46580039142721,19.24944425654757,78.32840998684574,23.118547512970515,17.143229289651085,16.891770145266747,16.92775142117791,16.856811906035382,17.391743386506135
3,25.027596414547464,26.01570000803264,25.581478901792593,25.712480844610198,25.851941867554167,25.524003042629655,25.48948241181665,102.76143256536112,28.94451924801576,20.473568893305647,20.525229867034415,20.559485504457914,20.473178903103015,20.840839850632896
4,29.086692293304516,30.973015804456445,30.444044508313954,30.46304917000398,31.06379062992433,30.308731713172005,30.339902226144062,129.4778489142157,37.3706622506608,21.44213623502366,21.132995183180373,21.154610723296972,20.993803949004054,21.82845457884777
5,34.64073524326409,37.053974795319576,36.60791131814288,36.14703542527658,36.42546620784853,35.53525390846989,35.89643812165048,160.89052139968484,43.69281409117723,22.032745286658358,21.913164165438,21.924088179903624,21.806712382821505,21.68876379327659
6,40.40110241975851,43.33621349108615,42.63288571242551,42.43200885665281,43.048059306927364,41.74663738877672,42.03591693882356,195.9167554944655,49.53293975558875,24.62683179086418,25.004833851232792,25.03600145013033,24.95907128048147,24.348527021571766
7,45.05664796614418,48.206414178716905,47.42092358272615,47.25707431952343,48.27649212820897,46.119661970339564,47.32511962241792,231.75661728084776,55.86562358167703,25.964262223087314,27.39806694189516,27.448134872392423,27.345611344351678,26.843143143312943
8,55.83959617266875,59.79919760226441,59.006785464632394,58.06017191697259,61.60363562907811,58.89636293186378,59.75377880444118,314.35685272143604,63.57297165347787,29.88651297209347,31.370725461635544,31.45486151889058,31.169055815996842,31.253311278812696
