index,rmse_M0,rmse_M1,rmse_M2,rmse_M3,rmse_M4,rmse_M5,rmse_M6,rmse_M7,rmse_M8,rmse_M9,rmse_M10,rmse_M11,rmse_M12,rmse_M13
1,75.19215177271151,76.33019352156332,74.984708933652,76.36949758440291,76.67209906639525,74.61714205194325,76.98818839281621,530.2979858821877,106.54570568074759,62.28761652581294,62.01455428390539,62.0787748041944,61.76574309204798,62.92828806774581
2,131.4724527382767,134.66563029677414,131.31222547653525,134.75168008217034,132.5107230769065,128.83442446826527,132.9838909143896,654.1197419333782,142.8022343221964,98.04569500933945,96.7372808068467,96.85654451064843,96.2433834080621,96.36962906600878
3,188.11076522136128,194.6655958444346,188.8472620898439,194.60389625521498,189.46086229665272,183.41269412349348,190.11089424015975,785.6241091979095,172.28635544437003,118.48007043641405,117.22787342249302,117.3239893233976,116.55115707168981,116.50230371545696
4,249.4246409967043,259.4120307891452,251.10409956342227,259.0125717782715,249.73474743930464,240.03489505186639,251.65404962074874,919.4906286967475,196.56905134348034,131.65947581276373,130.47343463007016,130.52220596528045,129.52766946759704,127.05122003841574
5,314.772132516298,329.45203730474486,317.68521155335344,328.79262898191524,315.71453772793546,301.19795616179573,319.25929230163365,1059.8728093892796,216.41647825216756,139.22947956848697,139.1914531160613,139.23353226713638,138.14709995420068,133.34529582956608
6,384.2725472592174,405.86102923769505,389.6818264923933,404.7317630515349,387.89709135554085,367.6471106516967,393.12677498610356,1211.340027848702,231.6519400714788,139.3154579478097,141.7730091960398,141.86995129805555,140.59317537221725,137.73761012658738
7,460.72182480592545,489.3175944379178,468.2643579174011,487.6858404998302,464.7860506643264,438.1010413808265,472.2996065825015,1379.216646850234,246.56690835483283,135.3079807691796,139.70631751174898,139.87939831204713,138.4723329374699,137.3793589899665
8,546.6656669758775,580.6799765634548,554.0665440015749,579.492856144374,549.2677731072623,517.4569759497763,558.2415231620828,1581.9403770968238,261.27516160749326,135.20595638304297,140.58617335036158,140.79374453718077,139.36636159169979,138.2415966685781
