window,mape_M0,mape_M1,mape_M2,mape_M3,mape_M4,mape_M5,mape_M6,mape_M7,mape_M8,mape_M9,mape_M10,mape_M11,mape_M12,mape_M13
1,89.37325803302153,92.94178692597752,88.06642227933635,93.32829496971642,82.18870531408385,81.67114163087452,81.97715928701965,79.88788627298824,10.797426349220858,20.364493624382476,18.280861300588178,18.205099044208286,18.005184411588864,12.698146252065484
2,112.8341246731857,118.9953034304256,116.34582222697325,116.38491005327293,103.46663557155209,102.25597333748276,103.72888268530377,87.44099957605543,24.74721531704492,50.717247170785576,38.707919625402155,38.71314838143934,38.667109413057375,35.47004711377548
3,106.01268949140967,114.0240375292401,109.21800944994877,111.95521406146618,102.547522713391,97.07703787188609,104.95586025426506,92.00856663117295,29.600884973187135,23.106286878309074,12.946273973360329,12.986549741728357,13.03694485088668,12.170275462901458
4,92.37807879537037,105.13211938201559,101.43121936433621,101.51561784029057,100.8580058337915,92.18538094982681,103.02481501639187,99.8891930582383,26.024692160790643,10.771863650658569,10.191201963390418,10.212667608525113,10.219668035107942,10.712949097023962
5,83.81075783962106,91.2889491479585,88.24881275322515,89.56874177235476,83.83844537963753,77.80981399736443,87.04918016163985,111.40823982186056,29.54457141587629,6.833033044180838,13.391642731064316,13.394135352011801,13.384070443607762,11.290922450448436
6,64.87680362720452,72.1200726036397,68.43293053344811,72.11534075370807,69.66026705492744,65.32183986627804,70.3040164997337,123.33896439146332,34.32626447554601,12.930772716897177,19.172774821034718,19.17253192438508,19.13258342945812,15.280492734055798
7,63.22738418066536,66.49962143015863,62.50211051756387,68.14157554576732,63.56504828659529,58.731278561015934,65.76042786394385,138.6301176381111,37.365879893089314,16.55163377691955,24.411503509874585,24.390807105724974,24.564202998656228,20.278585157631493
8,86.35936722990894,87.4415551105962,82.75342149386515,90.34181566874335,84.62396626864658,81.14051760412721,86.12910689315324,161.39341380881993,33.57480277909159,10.026206664892854,3.0382566006842544,3.027870943792061,3.035428124298969,7.12549077889167
9,76.26627604374525,72.03509527126705,68.72927929058675,76.05032603275882,76.01057206391727,71.94933398545392,77.87442286651671,173.95273344625127,31.305066931565023,12.707305834477022,6.875316621353305,6.913046823814319,7.083940735340269,14.110310627554517
10,59.586186860986516,53.873493265526726,51.36318020957648,58.08883834031753,55.88643406413689,53.70224210922727,58.82532711170724,177.4765834624673,18.237065201035765,7.142365297607696,9.182054465422,9.17027136294452,9.045055885168699,8.556392181327386
11,40.0121653623214,29.468096376575794,29.176761408847955,33.814360151914585,31.365725574915064,32.143666374789014,33.123252541657976,173.06037201799623,8.711186745503445,9.902396129133951,11.513513597096994,11.50875842375087,11.390650708227199,11.973304409994102
12,25.618872288851346,15.266546601664047,14.703134910499518,18.8883994124901,20.31084391026105,19.230393647966473,22.41379044767542,164.23609424653253,9.993926164106878,12.90350686407412,13.947038628473136,13.944170019082092,13.893067160851169,15.294878774142672
13,10.904833618461955,12.974000581469427,12.681683754402002,11.652549253831577,13.573604543972884,13.380859579522372,12.632304615199757,146.83881972210943,11.296962499395233,18.077562122742602,19.074061168127553,19.0772041882944,18.957986744363055,20.858873456400936
14,11.966203587873938,17.991178134879814,17.599481244010605,15.778046164750375,18.69003102225515,17.609113906540383,16.75576106799195,126.84105481134718,8.121235398960868,20.830660707550905,22.369271409034333,22.384810168079582,22.26777456975389,23.88623296676577
15,18.245559409040744,25.186810909136042,24.510316652735938,22.87304753574308,27.049647137203724,25.421973069756167,24.998737699174743,104.39291733723279,13.546608295995814,28.867266475806236,29.864785177498394,29.884216800468426,29.717949825918282,33.898373587414845
16,22.54385755902727,28.103701547829157,27.407032053063453,25.94114745007493,32.260111056108705,30.29503485183616,30.09790999205774,84.03306221026239,21.6659506698799,28.09458674308804,28.032438589003522,28.07361475528448,27.924819233676807,33.83412900909428
17,14.566637689097275,15.433013338734632,15.577753294969607,14.851859005233825,15.021290082087127,15.771419616312174,14.18119570357019,70.64741767711025,27.763644407691118,16.030940034724416,15.880943832306052,15.947496800213075,15.586830493117374,13.196347644110029
18,20.21542934023936,18.83515289324989,19.39628579171248,19.08731739476001,16.722932227123838,18.327126499056224,16.82210104550767,60.36805796751863,36.99355680943884,22.74091848203343,24.181144921218216,24.208305119201288,23.9375016144313,20.005442217961406
19,28.092915901616266,25.274293986728765,26.12882433890702,26.033460113447347,20.250496002363516,23.023946116878516,21.143952495290836,55.929554904996635,74.89249037308812,37.72843034517407,43.60270619709913,43.74221495315882,42.898051636045295,33.53613961760324
20,31.353026458079587,27.34198786453912,29.029628330762648,28.030522342455345,21.32328329880466,24.80835029944107,22.045501658269394,47.8052472612115,106.2470344987832,45.51903998973768,50.2381637346718,50.45992951350931,49.20516074221216,39.81014773091479
