"data_iniSE","epiweek","casos_est","casos_est_min","casos_est_max","casos","municipio_geocodigo","p_rt1","p_inc100k","Localidade_id","nivel","id","versao_modelo","Rt","municipio_nome","pop","tempmin","umidmax","receptivo","transmissao","nivel_inc","umidmed","umidmin","tempmed","tempmax","casprov","casprov_est","casprov_est_min","casprov_est_max","casconf","precip_total","tempmed_lag5","umidmed_lag8","year","week_id","time_id","year_id","obs_id"
"2023-03-26",202313,1580,1580,1580,1580,3304557,1,23.846,0,4,330455720231319808,"2024-04-02",1.3781551,"Rio de Janeiro",6625849,23.5769230769231,89.6739012307692,1,1,2,80.4843574615385,69.4006986923077,25.5512818461538,28,823,NA,NA,NA,NA,138.5385,26.96333344,79.6925188571429,2023,13,1,1,1
"2023-04-02",202314,1420,1420,1420,1420,3304557,0.9419985,21.431215,0,4,330455720231419840,"2024-04-08",1.0616965,"Rio de Janeiro",6625849,22,94.08686,1,0,2,78.9160121428571,61.5469862857143,24.619048,27.8571428571429,787,NA,NA,NA,NA,108.2548,27.0942027826087,83.9598165714286,2023,14,2,1,2
"2023-04-09",202315,1783,1783,1783,1783,3304557,1,26.90976,0,4,330455720231519808,"2024-04-15",1.2132208,"Rio de Janeiro",6625849,20.7142857142857,95.7458942857143,0,1,2,80.7760205714286,58.9473221428571,24.1904762857143,29,964,NA,NA,NA,NA,112.0799,26.1666665714286,83.6260754666667,2023,15,3,1,3
"2023-04-16",202316,1502,1502,1502,1502,3304557,0.23936632,22.668793,0,4,330455720231619840,"2024-04-22",0.97464806,"Rio de Janeiro",6625849,21.2857142857143,93.2862714285714,1,0,2,77.3964678571429,57.5178611428571,24.5178571428571,28,816,NA,NA,NA,NA,131.5699,24.9736842105263,78.69903688,2023,16,4,1,4
"2023-04-23",202317,1572,1572,1572,1572,3304557,0.34295422,23.725262,0,4,330455720231719872,"2024-04-29",0.9857314,"Rio de Janeiro",6625849,20.4285714285714,92.4114291428571,0,0,2,78.7258365714286,60.3022841428571,23.3928571428571,27.1428571428571,895,NA,NA,NA,NA,88.1311,26.9166667692308,76.7611115652174,2023,17,5,1,5
"2023-04-30",202318,1919,1919,1919,1919,3304557,1,28.962326,0,4,330455720231819840,"2024-05-06",1.2015945,"Rio de Janeiro",6625849,22.7619047619048,88.057656952381,1,1,2,86.2529474285714,83.7905211428571,23.1031744761905,23.5714285714286,1058,NA,NA,NA,NA,24.2176,25.5512818461538,79.748143,2023,18,6,1,6
"2023-05-07",202319,1807,1807,1807,1807,3304557,0.995328,27.271976,0,4,330455720231919872,"2024-05-13",1.0924182,"Rio de Janeiro",6625849,21.8636363636364,88.8520834545455,1,1,2,84.5371289090909,79.3549600909091,22.4515152727273,23.2727272727273,1075,NA,NA,NA,NA,92.6903,24.619048,81.4420851578947,2023,19,7,1,7
"2023-05-14",202320,1731,1731,1731,1731,3304557,0.28015295,26.124954,0,4,330455720232019840,"2024-05-20",0.9804962,"Rio de Janeiro",6625849,18.1304347826087,87.2980060869565,0,0,2,76.8775522608696,61.8836966086957,20.4565217391304,22.7826086956522,993,NA,NA,NA,NA,13.0236,24.1904762857143,74.8795039230769,2023,20,8,1,8
"2023-05-21",202321,1479,1479,1479,1479,3304557,9.75479e-08,22.321669,0,4,330455720232119872,"2024-05-27",0.83293986,"Rio de Janeiro",6625849,18.72,89.666396,0,0,2,78.27734368,58.07564868,22.05000016,26.08,807,NA,NA,NA,NA,0.3419,24.5178571428571,80.4843574615385,2023,21,9,1,9
"2023-05-28",202322,1328,1328,1328,1328,3304557,2.4545233e-10,20.042715,0,4,330455720232219904,"2024-06-03",0.7960871,"Rio de Janeiro",6625849,20.2,88.834726,0,0,2,88.264806,87.6893094,20.2833332,20.5,795,NA,NA,NA,NA,124.1124,23.3928571428571,78.9160121428571,2023,22,10,1,10
"2023-06-04",202323,1238,1238,1238,1238,3304557,1.961739e-07,18.684399,0,4,330455720232319872,"2024-06-10",0.8234976,"Rio de Janeiro",6625849,16.4635857142857,92.7973714285714,0,0,2,79.7841,54.3063714285714,20.4796285714286,26.3375285714286,737,NA,NA,NA,NA,1.1439,23.1031744761905,80.7760205714286,2023,23,11,1,11
"2023-06-11",202324,1348,1348,1348,1348,3304557,0.39592624,20.344563,0,4,330455720232419904,"2024-06-10",0.9899132,"Rio de Janeiro",6625849,19.9046,91.9111285714286,0,0,2,82.4304428571429,64.6585,22.4527142857143,26.1682857142857,782,NA,NA,NA,NA,42.4503,22.4515152727273,77.3964678571429,2023,24,12,1,12
"2023-06-18",202325,1236,1236,1236,1236,3304557,0.11686673,18.654213,0,4,330455720232519872,"2024-06-24",0.95377296,"Rio de Janeiro",6625849,18.7,78.0046084,0,0,2,77.2142524,76.07663825,19.025,19.35,702,NA,NA,NA,NA,8.7891,20.4565217391304,78.7258365714286,2023,25,13,1,13
"2023-06-25",202326,996,996,996,996,3304557,4.794721e-09,15.032036,0,4,330455720232619904,"2024-07-01",0.78507173,"Rio de Janeiro",6625849,19.7142857142857,84.4387274285714,0,0,2,81.390786,78.5984042857143,20.2142857142857,20.7142857142857,497,NA,NA,NA,NA,15.5607,22.05000016,86.2529474285714,2023,26,14,1,14
"2023-07-02",202327,835,835,835,835,3304557,8.548717e-15,12.602159,0,4,330455720232719936,"2024-07-09",0.7086593,"Rio de Janeiro",6625849,17.45,82.800435,0,0,2,81.43199885,79.5288695,17.8642858,18.45,415,NA,NA,NA,NA,15.1522,20.2833332,84.5371289090909,2023,27,15,1,15
"2023-07-09",202328,770,770,770,770,3304557,1.9708464e-09,11.621152,0,4,330455720232819904,"2024-07-15",0.75602317,"Rio de Janeiro",6625849,19.4214285714286,89.1566142857143,0,0,2,75.4329428571429,56.6501428571429,22.1823714285714,26.3498714285714,394,NA,NA,NA,NA,45.3062,20.4796285714286,76.8775522608696,2023,28,16,1,16
"2023-07-16",202329,647,647,647,647,3304557,6.1527237e-09,9.764787,0,4,330455720232919936,"2024-07-25",0.74518234,"Rio de Janeiro",6625849,17.9093285714286,88.8996571428572,0,0,2,80.5619857142857,67.3520714285714,20.3571857142857,23.5575,318,NA,NA,NA,NA,42.4782,22.4527142857143,78.27734368,2023,29,17,1,17
"2023-07-23",202330,557,557,557,557,3304557,2.0542172e-08,8.40647,0,4,330455720233019904,"2024-07-30",0.73746103,"Rio de Janeiro",6625849,18.4884857142857,92.4585285714286,0,0,1,80.0830142857143,58.4011285714286,21.9487,26.6419571428571,248,NA,NA,NA,NA,30.9233,19.025,88.264806,2023,30,18,1,18
"2023-07-30",202331,603,603,603,603,3304557,0.050081395,9.10072,0,1,330455720233119936,"2024-08-06",0.91165924,"Rio de Janeiro",6625849,17.1542714285714,92.1810142857143,0,0,2,80.7280857142857,60.2499285714286,20.4131428571429,25.0305571428571,281,NA,NA,NA,NA,14.4115,20.2142857142857,79.7841,2023,31,19,1,19
"2023-08-06",202332,536,536,536,536,3304557,0.030616185,8.089529,0,1,330455720233219968,"2024-08-14",0.89479154,"Rio de Janeiro",6625849,19.5280285714286,90.5779571428571,0,0,1,76.5445,55.7634428571429,22.8695142857143,27.7186,250,NA,NA,NA,NA,33.1524,17.8642858,82.4304428571429,2023,32,20,1,20
"2023-08-13",202333,534,534,534,534,3304557,0.1244978,8.059344,0,1,330455720233319936,"2024-08-21",0.93303585,"Rio de Janeiro",6625849,19.9024,89.5918428571429,0,0,1,79.1911285714286,63.9026142857143,22.4488428571429,25.8988428571429,227,NA,NA,NA,NA,49.3446,22.1823714285714,77.2142524,2023,33,21,1,21
"2023-08-20",202334,505,505,505,505,3304557,0.08628571,7.621665,0,1,330455720233419968,"2024-08-27",0.9194124,"Rio de Janeiro",6625849,19.9392142857143,90.6021714285714,0,0,1,76.5128714285714,54.5233857142857,23.3324714285714,28.5243,201,NA,NA,NA,NA,67.9103,20.3571857142857,81.390786,2023,34,22,1,22
"2023-08-27",202335,459,459,459,459,3304557,0.017856747,6.927414,0,1,330455720233520000,"2024-09-03",0.87458324,"Rio de Janeiro",6625849,17.9162,91.7952285714286,0,0,1,84.1522857142857,72.5597571428571,20.2468571428571,23.1287142857143,180,NA,NA,NA,NA,195.8509,21.9487,81.43199885,2023,35,23,1,23
"2023-09-03",202336,446,446,446,446,3304557,0.04666416,6.731213,0,1,330455720233619968,"2024-09-12",0.8964647,"Rio de Janeiro",6625849,20.6991571428571,87.9818714285714,0,0,1,77.0852428571429,59.4700428571429,23.8151857142857,28.1098571428571,164,NA,NA,NA,NA,40.301,20.4131428571429,75.4329428571429,2023,36,24,1,24
"2023-09-10",202337,550,550,550,550,3304557,0.9911103,8.300823,0,1,330455720233720000,"2024-09-17",1.1598191,"Rio de Janeiro",6625849,19.7167285714286,88.5132428571429,0,1,1,74.1210857142857,53.774,23.5620142857143,28.4722285714286,219,NA,NA,NA,NA,73.0512,22.8695142857143,80.5619857142857,2023,37,25,1,25
"2023-09-17",202338,519,519,519,519,3304557,0.8926874,7.8329587,0,1,330455720233819968,"2024-09-24",1.0816946,"Rio de Janeiro",6625849,20.7192285714286,90.7639714285714,0,0,1,74.5248,50.2639714285714,24.9454428571429,30.5400142857143,221,NA,NA,NA,NA,0.1205,22.4488428571429,80.0830142857143,2023,38,26,1,26
"2023-09-24",202339,446,446,446,446,3304557,0.02964183,6.731213,0,1,330455720233920000,"2024-10-02",0.88475883,"Rio de Janeiro",6625849,21.7035142857143,90.2691857142857,1,0,1,77.6728857142857,59.1178571428571,24.4339428571429,28.8561285714286,207,NA,NA,NA,NA,22.851,23.3324714285714,80.7280857142857,2023,39,27,1,27
"2023-10-01",202340,472,472,472,472,3304557,0.18681471,7.1236153,0,1,330455720234020032,"2024-10-09",0.9445286,"Rio de Janeiro",6625849,22.0612714285714,92.8211285714286,1,0,1,84.4095,71.7851,24.1390428571429,27.2779571428571,193,NA,NA,NA,NA,188.4911,20.2468571428571,76.5445,2023,40,28,1,28
"2023-10-08",202341,380,380,380,380,3304557,0.0009992091,5.735114,0,2,330455720234120000,"2024-10-16",0.8085594,"Rio de Janeiro",6625849,22.3590857142857,92.6474,1,0,1,84.874,73.3621857142857,24.1755285714286,26.9240571428571,172,NA,NA,NA,NA,147.8971,23.8151857142857,79.1911285714286,2023,41,29,1,29
"2023-10-15",202342,464,464,464,464,3304557,0.7494623,7.0028763,0,2,330455720234220032,"2024-10-23",1.0456583,"Rio de Janeiro",6625849,21.2718571428571,89.6377285714286,1,0,1,82.4633428571429,71.7073428571429,23.0559285714286,25.5558142857143,212,NA,NA,NA,NA,152.9085,23.5620142857143,76.5128714285714,2023,42,30,1,30
"2023-10-22",202343,450,450,450,450,3304557,0.7625061,6.7915826,0,2,330455720234320000,"2024-10-30",1.0493596,"Rio de Janeiro",6625849,21.4660428571429,90.9163714285714,1,0,1,82.7997571428571,70.7042857142857,23.6369,26.8225428571429,214,NA,NA,NA,NA,100.9575,24.9454428571429,84.1522857142857,2023,43,31,1,31
"2023-10-29",202344,481,481,481,481,3304557,0.9147414,7.259447,0,2,330455720234420032,"2024-11-05",1.0945619,"Rio de Janeiro",6625849,23.3971714285714,91.1584285714286,1,0,1,80.7131,65.3963142857143,25.7932428571429,29.2617142857143,270,NA,NA,NA,NA,134.9403,24.4339428571429,77.0852428571429,2023,44,32,1,32
"2023-11-05",202345,704,704,704,704,3304557,1,10.625053,0,1,330455720234520064,"2024-11-12",1.5014987,"Rio de Janeiro",6625849,20.5856142857143,84.6023428571429,0,1,1,70.8361714285714,52.1862857142857,24.0985857142857,28.8349857142857,385,NA,NA,NA,NA,2.4778,24.1390428571429,74.1210857142857,2023,45,33,1,33
"2023-11-12",202346,571,571,571,571,3304557,0.89876497,8.6177635,0,1,330455720234620032,"2024-11-19",1.0798972,"Rio de Janeiro",6625849,25.3153285714286,91.1391,1,0,1,72.6433142857143,47.7055571428571,29.4324,35.3842285714286,331,NA,NA,NA,NA,7.9344,24.1755285714286,74.5248,2023,46,34,1,34
"2023-11-19",202347,900,900,900,900,3304557,1,13.583165,0,1,330455720234720064,"2024-11-29",1.4744326,"Rio de Janeiro",6625849,23.4174285714286,89.5124857142857,1,1,2,78.9135571428571,65.1963142857143,25.9097428571429,29.3165857142857,527,NA,NA,NA,NA,334.0101,23.0559285714286,77.6728857142857,2023,47,35,1,35
"2023-11-26",202348,983,983,983,983,3304557,1,14.8358345,0,4,330455720234820032,"2024-12-03",1.4102958,"Rio de Janeiro",6625849,22.2267714285714,91.1691142857143,1,1,2,77.6062571428571,61.8870285714286,25.2683142857143,28.9385,570,NA,NA,NA,NA,111.796,23.6369,84.4095,2023,48,36,1,36
"2023-12-03",202349,1149,1149,1149,1149,3304557,1,17.341173,0,4,330455720234920064,"2024-12-10",1.3718576,"Rio de Janeiro",6625849,24.3112285714286,93.2488285714286,1,1,2,79.2977142857143,62.8614857142857,27.1073,30.8049428571429,726,NA,NA,NA,NA,136.8832,25.7932428571429,84.874,2023,49,37,1,37
"2023-12-10",202350,1411,1411,1411,1411,3304557,1,21.295383,0,4,330455720235020096,"2024-12-17",1.4137423,"Rio de Janeiro",6625849,21.6109714285714,90.9290428571429,1,1,2,76.1185428571429,57.9140571428571,24.8948142857143,28.9311714285714,974,NA,NA,NA,NA,90.9181,24.0985857142857,82.4633428571429,2023,50,38,1,38
"2023-12-17",202351,1098,1098,1098,1098,3304557,0.14507446,16.57146,0,4,330455720235120064,"2024-12-23",0.9563452,"Rio de Janeiro",6625849,22.9563,91.3377,1,0,2,74.3208857142857,53.5911857142857,26.2965571428571,30.6987571428571,922,NA,NA,NA,NA,14.2447,29.4324,82.7997571428571,2023,51,39,1,39
"2023-12-24",202352,1198,1198,1198,1198,3304557,0.26831552,18.080702,0,4,330455720235220096,"2024-12-30",0.9752268,"Rio de Janeiro",6625849,23.6519142857143,86.8901857142857,1,0,2,71.2181428571429,53.9967142857143,27.0679857142857,30.9614,994,NA,NA,NA,NA,76.664,25.9097428571429,80.7131,2023,52,40,1,40
"2023-12-31",202401,2421,2421,2421,2421,3304557,1,36.538715,0,4,330455720240120064,"2025-01-07",1.9114681,"Rio de Janeiro",6625849,22.6193142857143,89.3218857142857,1,1,2,79.3918714285714,65.3508857142857,24.6023857142857,27.2626285714286,1501,NA,NA,NA,NA,97.6419,25.2683142857143,70.8361714285714,2024,1,41,2,41
"2024-01-07",202402,3010,3010,3010,3010,3304557,1,45.42814,0,4,330455720240220096,"2025-01-14",1.9128249,"Rio de Janeiro",6625849,24.4706428571429,90.7496,1,1,2,73.7359571428571,55.2503714285714,27.9452,32.0431,1767,NA,NA,NA,NA,119.569,27.1073,72.6433142857143,2024,2,42,2,42
"2024-01-14",202403,3800,3800,3800,3800,3304557,1,57.35114,0,4,330455720240320128,"2025-01-21",1.6847337,"Rio de Janeiro",6625849,25.7803571428571,91.2030285714286,1,1,2,76.0210142857143,57.8434428571429,28.9142142857143,32.9022285714286,2267,NA,NA,NA,NA,96.5672,24.8948142857143,78.9135571428571,2024,3,43,2,43
"2024-01-21",202404,4891,4891,4891,4891,3304557,1,73.816956,0,4,330455720240420096,"2025-01-28",1.6085827,"Rio de Janeiro",6625849,21.8847285714286,93.3217571428571,1,1,2,85.9115142857143,76.7569857142857,23.7086571428571,25.7708857142857,3156,NA,NA,NA,NA,399.1425,26.2965571428571,77.6062571428571,2024,4,44,2,44
"2024-01-28",202405,7982,7982,7982,7982,3304557,1,120.46758,0,4,330455720240520128,"2025-02-04",1.9978906,"Rio de Janeiro",6625849,22.7977571428571,94.3458428571429,1,1,2,82.2012,64.3737571428571,25.6826285714286,29.7274571428571,5196,NA,NA,NA,NA,115.4267,27.0679857142857,79.2977142857143,2024,5,45,2,45
"2024-02-04",202406,10068,10068,NA,10068,3304557,1,151.95033,0,4,330455720240620160,"2025-02-11",1.8241075,"Rio de Janeiro",6625849,23.4196285714286,94.0718428571429,1,1,2,78.882,61.0074714285714,26.6648571428571,30.6637571428571,8046,NA,NA,NA,NA,44.1902,24.6023857142857,76.1185428571429,2024,6,46,2,46
"2024-02-11",202407,13539,13539,NA,13539,3304557,1,204.33607,0,4,330455720240720128,"2025-02-18",1.7460179,"Rio de Janeiro",6625849,24.0546142857143,89.3992285714286,1,1,2,76.5744714285714,60.5301285714286,26.9117714285714,30.7361428571429,12358,NA,NA,NA,NA,129.0774,27.9452,74.3208857142857,2024,7,47,2,47
"2024-02-18",202408,16339,16339,NA,16339,3304557,1,246.59482,0,4,330455720240820160,"2025-02-26",1.5729148,"Rio de Janeiro",6625849,23.9167571428571,91.8427142857143,1,1,2,81.7803285714286,66.3558714285714,26.2614,29.9673857142857,15067,NA,NA,NA,NA,134.1101,28.9142142857143,71.2181428571429,2024,8,48,2,48
"2024-02-25",202409,14550,14550,NA,14550,3304557,1,219.5945,0,4,330455720240920128,"2025-03-06",1.1166737,"Rio de Janeiro",6625849,24.4299142857143,92.0358428571429,1,1,2,80.6158285714286,65.5541428571429,26.9634285714286,30.299,13305,NA,NA,NA,NA,52.514,23.7086571428571,79.3918714285714,2024,9,49,2,49
"2024-03-03",202410,11999,11999,NA,11999,3304557,0,181.09378,0,4,330455720241020160,"2025-03-11",0.8250993,"Rio de Janeiro",6625849,22.7226285714286,93.7982571428571,1,0,2,79.9846714285714,62.8002142857143,25.9607571428571,29.8014285714286,11136,NA,NA,NA,NA,86.3614,25.6826285714286,73.7359571428571,2024,10,50,2,50
"2024-03-10",202411,10154,10154,NA,10154,3304557,0,153.24829,0,4,330455720241120192,"2025-03-18",0.7259868,"Rio de Janeiro",6625849,23.1251857142857,94.556,1,0,2,79.3174857142857,61.7723571428571,26.5092285714286,30.3423142857143,9430,NA,NA,NA,NA,40.3248,26.6648571428571,76.0210142857143,2024,11,51,2,51
"2024-03-17",202412,7593,7593,7593,7593,3304557,0,114.596634,0,4,330455720241220160,"2025-03-24",0.6266078,"Rio de Janeiro",6625849,24.7415857142857,90.9787571428571,1,0,2,78.3295142857143,61.4830857142857,27.6923571428571,31.4456285714286,7048,NA,NA,NA,NA,261.9597,26.9117714285714,85.9115142857143,2024,12,52,2,52
"2024-03-24",202413,4105,4105,4105,4105,3304557,0,61.954323,0,4,330455720241320192,"2025-04-01",0.41577402,"Rio de Janeiro",6625849,22.2580285714286,95.2120428571429,1,0,2,88.3357,76.5698571428571,23.5867571428571,25.4453,3830,NA,NA,NA,NA,253.3453,26.2614,82.2012,2024,13,53,2,53
"2024-03-31",202414,4413,4413,4413,4413,3304557,0,66.60278,0,4,330455720241420160,"2025-04-10",0.5937511,"Rio de Janeiro",6625849,21.0899,97.4697428571429,1,0,2,82.9484714285714,63.8867,24.4085714285714,28.3025428571429,4033,NA,NA,NA,NA,9.859,26.9634285714286,78.882,2024,14,54,2,54
