epiweek,geocodigo,temp_min_avg,temp_max_avg,temp_med_avg,precip_total,umid_min_avg,umid_max_avg,umid_med_avg
202501,3304557,22.794985714285716,29.778114285714285,25.683742857142857,53.833,63.60998571428571,93.76331428571429,80.8134
202502,3304557,22.3219,27.228685714285714,24.445857142857143,158.7398,68.79175714285714,91.55137142857143,81.06755714285714
202503,3304557,22.204528571428572,27.8754,24.714085714285712,20.5981,62.40824285714286,90.21655714285714,77.86401428571428
202504,3304557,25.08854285714286,33.61982857142857,29.046342857142857,16.110500000000002,49.906171428571426,90.52075714285714,70.77951428571428
202505,3304557,24.46597142857143,28.45952857142857,26.234114285714284,314.6341,73.35708571428572,93.1619,84.62432857142858
202506,3304557,24.098342857142857,32.401942857142856,28.135414285714287,24.6986,49.507557142857145,92.19741428571429,72.19821428571429
202507,3304557,24.086314285714284,32.48081428571429,27.978085714285715,3.1500000000000004,46.97871428571428,88.61527142857143,68.74657142857143
202508,3304557,24.240657142857142,34.403357142857146,29.346242857142858,6.6591000000000005,40.90378571428572,87.36892857142857,63.0015
202509,3304557,23.492671428571427,32.964800000000004,28.048914285714286,7.1968,43.0132,89.20545714285714,66.04157142857143
202510,3304557,23.196485714285714,31.686,27.114271428571428,8.4027,46.208485714285715,89.3327,68.76632857142857
202511,3304557,23.800142857142855,31.09492857142857,27.016528571428573,84.4015,56.3944,92.10014285714286,74.5026
202512,3304557,22.386542857142857,27.737242857142856,24.8333,206.7601,63.92232857142857,91.98607142857144,79.04641428571429
202513,3304557,22.44577142857143,29.384814285714285,25.662,40.0692,58.81811428571429,92.95328571428571,76.86364285714286
202514,3304557,22.922957142857143,29.67622857142857,26.16927142857143,221.8565,59.49837142857143,93.1666857142857,77.39328571428571
202515,3304557,20.1451,25.828985714285714,22.786528571428573,156.5767,64.58245714285714,91.28848571428571,79.51971428571429
202516,3304557,20.94102857142857,26.9991,23.730485714285713,37.4978,66.5838,95.00715714285714,82.81338571428572
202517,3304557,20.57087142857143,25.085857142857144,22.500342857142858,154.5428,70.43467142857142,94.19425714285714,83.8487
202518,3304557,18.984314285714287,25.377871428571428,21.913442857142858,103.1751,59.790371428571426,93.34807142857143,78.94421428571428
202519,3304557,18.572414285714288,27.925242857142855,22.686585714285716,0.5047,52.88471428571428,92.5121,76.5441
202520,3304557,18.361314285714286,23.98572857142857,20.867014285714287,84.1452,61.72294285714286,91.31577142857142,79.42605714285715
