epiweek,geocodigo,temp_min_avg,temp_max_avg,temp_med_avg,precip_total,umid_min_avg,umid_max_avg,umid_med_avg
202248,3304557,23.234266666666667,29.779733333333333,25.916133333333335,22.8857,60.68913333333333,89.88533333333334,77.9766
202249,3304557,22.135242857142856,27.8012,24.707657142857144,135.2359,64.48357142857142,91.79074285714286,78.418685714285715
202250,3304557,21.21794285714286,28.123871428571427,24.42767142857143,108.90249999999999,60.193157142857146,90.99592857142858,77.22521428571429
202251,3304557,20.517542857142857,23.77367142857143,21.938385714285715,303.2933,74.60247142857143,92.58174285714286,84.1622
202252,3304557,22.175385714285714,27.059014285714287,24.303414285714286,184.5677,72.26317142857143,94.81077142857143,84.85972857142858
202301,3304557,21.807285714285715,27.11275714285714,24.214257142857143,275.138,70.38342857142857,92.86404285714285,82.823
202302,3304557,21.790114285714285,28.44262857142857,24.547471428571427,274.6743,67.91518571428571,96.2325,85.31735714285715
202303,3304557,23.264214285714285,29.676628571428573,26.365085714285716,54.304899999999996,61.61824285714286,93.9804,79.59438571428572
202304,3304557,22.28582857142857,28.867685714285713,25.2119,158.06470000000002,64.95901428571429,94.15211428571429,81.49928571428572
202305,3304557,23.916328571428572,31.512328571428572,27.21307142857143,104.2033,57.0148,93.74181428571428,78.66801428571428
202306,3304557,23.591914285714285,29.160285714285713,25.7778,272.2288,71.5519,94.32425714285714,84.94237142857143
202307,3304557,23.74742857142857,30.838585714285713,26.693328571428573,284.4384,63.689057142857145,94.13755714285715,82.26559999999999
202308,3304557,22.875814285714284,30.520271428571426,26.261542857142857,50.0932,60.72302857142857,93.71525714285714,79.06018571428571
202309,3304557,23.818214285714287,31.22755714285714,27.195614285714285,40.371700000000004,59.505028571428575,93.7781,78.42622857142857
202310,3304557,24.002385714285715,31.1311,27.131042857142855,41.6464,57.304857142857145,91.79827142857143,76.8938
202311,3304557,22.24327142857143,27.77697142857143,24.783942857142858,134.28050000000002,66.33955714285715,94.7751,81.38367142857143
202312,3304557,22.1018,30.265685714285713,25.932314285714288,7.0537,56.647685714285714,96.45222857142858,78.39955714285715
202313,3304557,22.88042857142857,29.847571428571428,25.814342857142858,138.5385,60.4415,93.88442857142857,80.28775714285715
202314,3304557,20.977814285714285,26.458871428571427,23.543885714285715,108.2548,63.30215714285714,92.96438571428571,79.18412857142857
202315,3304557,20.210785714285713,27.0603,23.336557142857142,112.07990000000001,63.864871428571426,94.75424285714286,82.05418571428571
202316,3304557,20.431185714285714,26.466714285714286,23.1351,131.5699,61.939,91.19407142857143,78.1836
202317,3304557,19.07652857142857,25.62927142857143,22.27802857142857,88.1311,64.09751428571428,95.56947142857143,81.50361428571429
202318,3304557,19.747914285714284,26.5964,22.77702857142857,24.2176,65.26022857142857,97.61117142857142,84.31767142857143
202319,3304557,19.432885714285714,24.7746,21.804871428571428,92.69030000000001,68.28102857142856,94.78238571428571,83.91475714285714
202320,3304557,16.4334,23.412657142857142,19.728785714285713,13.0236,54.091971428571426,92.18468571428572,75.22075714285714
202321,3304557,16.49177142857143,26.142699999999998,20.985942857142856,0.3419,55.06642857142857,93.6397,78.21778571428571
202322,3304557,17.861585714285713,22.905371428571428,20.085685714285713,124.11240000000001,68.35119999999999,93.45138571428572,84.07378571428572
202323,3304557,14.659957142857143,25.444842857142856,19.844285714285714,1.1439000000000001,50.78928571428571,94.24272857142857,77.59304285714286
