epiweek,geocodigo,temp_min_avg,temp_max_avg,temp_med_avg,precip_total,umid_min_avg,umid_max_avg,umid_med_avg
201949,4209102,17.923857142857145,24.20792857142857,20.494914285714284,204.6082,68.39875714285714,92.49448571428572,82.62368571428571
201950,4209102,18.90442857142857,25.524185714285714,21.814457142857144,49.9011,65.17918571428571,96.36291428571428,82.33465714285714
201951,4209102,19.674457142857143,25.059685714285713,21.949142857142856,253.52679999999998,74.7885,96.4517,88.15148571428571
201952,4209102,20.1781,27.297171428571428,23.330514285714287,111.5834,60.92597142857143,97.33828571428572,81.81541428571428
202001,4209102,20.8607,27.08504285714286,23.440914285714285,244.9063,67.92304285714286,96.86992857142857,85.03909999999999
202002,4209102,21.552642857142857,28.4436,24.489614285714286,241.44219999999999,67.98438571428571,97.59331428571429,85.74665714285715
202003,4209102,19.722242857142856,26.012514285714285,22.505985714285714,175.5208,64.51394285714287,94.73907142857142,81.62161428571429
202004,4209102,18.638485714285714,23.734342857142856,21.12654285714286,157.5171,72.66418571428571,96.25321428571428,85.77065714285715
202005,4209102,20.940628571428572,28.533342857142856,24.42342857142857,164.1944,66.19894285714285,97.4999,84.65774285714285
202006,4209102,20.769642857142856,24.888814285714286,22.49802857142857,343.0014,81.72665714285714,97.2613,90.70498571428571
202007,4209102,18.733285714285714,24.90002857142857,21.277371428571428,219.3677,69.75325714285714,95.41604285714286,86.13077142857144
202008,4209102,21.53142857142857,26.642542857142857,23.7912,133.6037,72.26414285714286,96.2231,86.54501428571429
202009,4209102,17.015657142857144,23.950242857142857,20.480542857142858,136.26420000000002,68.3204,93.76268571428571,82.09451428571428
202010,4209102,17.51942857142857,23.02304285714286,20.00604285714286,178.9817,71.47545714285714,96.75262857142857,85.70562857142858
202011,4209102,18.613885714285715,27.189014285714286,22.45547142857143,6.1208,58.789899999999996,98.44645714285714,82.93341428571429
202012,4209102,20.8825,27.075214285714285,23.544885714285716,103.2151,66.77158571428572,96.98814285714286,85.19034285714285
