data_iniSE,epiweek,casos_est,casos_est_min,casos_est_max,casos,municipio_geocodigo,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,Rt,municipio_nome,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,geocodigo,temp_min_avg,temp_max_avg,temp_med_avg,precip_total,umid_min_avg,umid_max_avg,umid_med_avg,temp_avg_4w,umid_avg_4w,temp_min_avg_4w,temp_max_avg_4w,umid_min_avg_4w,umid_max_avg_4w,temp_avg_8w,umid_avg_8w,temp_min_avg_8w,temp_max_avg_8w,umid_min_avg_8w,umid_max_avg_8w,temp_avg_12w,umid_avg_12w,temp_min_avg_12w,temp_max_avg_12w,umid_min_avg_12w,umid_max_avg_12w,temp_above_25,temp_med_range_4w,umid_med_range_4w,temp_med_lag1,temp_med_lag2,temp_med_lag3,temp_med_lag4,umid_med_lag1,umid_med_lag2,umid_med_lag3,umid_med_lag4,year,week_id,time_id,year_id,obs_id
2015-03-01,201509,15,15,15,15,4209102,0.4451723,2.5097966,0,2,420910220150919600,2023-08-21,0.9521266,Joinville,597658,22.7142857142857,96.8571428571429,1,0,0,81.9026992857143,67.8571428571429,25.7507892857143,28.2857142857143,4,NA,NA,NA,NA,4209102,20.15698571428571,25.933542857142857,22.710785714285713,209.7658,67.34788571428572,95.01281428571428,83.33335714285714,1.2591217518389384,0.9026703127798125,1.2916734976318789,1.2126205806181003,0.8692952480048493,0.99261931842728,1.5988136396433374,0.146353471099099,1.5298330967223988,1.7230697310225307,0.26991947208660594,0.6117962926424617,1.5849676766790326,0.002936636395495501,1.5048675935054467,1.7473992405415564,0.13394060734845598,0.6102088042013398,0,-0.5306250583921194,-1.146974835118358,1.4034307657917862,0.7756844262977897,1.5215722456369207,0.8760523330544928,0.18584493176457437,0.9199543777932605,0.41405203863036993,0.5191173707745524,2015,9,1,1,1
2015-03-08,201510,16,16,16,16,4209102,0.5292932,2.6771164,0,2,420910220151019600,2023-08-21,1.0261441,Joinville,597658,22.5714285714286,99.1428571428571,1,0,0,84.9488702857143,67.5714285714286,25.8656222857143,29.4285714285714,3,NA,NA,NA,NA,4209102,20.63131428571429,26.01102857142857,22.66092857142857,279.3599,77.46872857142857,96.64382857142856,89.21034285714286,1.2854674513698434,0.4658548765697335,1.306253019382717,1.235384689618381,0.4174905368017724,0.6884283568106352,1.496136462683708,0.07859678160531706,1.4525845545006932,1.5701001289319643,0.26615588796761536,0.5065197477077035,1.5557409676738183,-0.14375264247374464,1.4850605984484235,1.6809217645259424,0.0906796339782105,0.4070819750587857,0,-0.5306250583921194,-0.4955632410456241,0.9689103259450572,1.4067033959801007,0.7748077552340875,1.5232679200023957,-0.46613321166635246,0.18480748382430726,0.9197907663801159,0.41340705536027184,2015,10,2,1,2
2015-03-15,201511,16,16,16,16,4209102,0.5166033,2.6771164,0,2,420910220151119600,2023-08-21,1.014686,Joinville,597658,21.5714285714286,100,1,0,0,89.1961614285714,72.8571428571429,24.0813538571429,27.5714285714286,1,NA,NA,NA,NA,4209102,19.803628571428572,24.831142857142854,21.94231428571429,134.2155,75.02117142857142,96.99105714285714,88.19504285714285,1.1295407241910447,0.7748330400648807,1.2216860962476854,1.0608790066592602,0.7424218357971721,0.5483688606484034,1.317558100372852,0.5782222128094602,1.3496816206235893,1.31574973002899,0.8399466796458538,0.5316190363350473,1.5804431750793955,0.2473325822536348,1.5405195690470614,1.6981226537273435,0.4230833706612925,0.48377098484981573,0,-0.7908599570740327,-0.3034380299483301,0.9531398173596407,0.9715598752428772,1.4054549103145617,0.7759891438327094,1.1137305847659518,-0.46677495624407056,0.1846777383570415,0.9190438591592899,2015,11,3,1,3
2015-03-22,201512,24,24,24,24,4209102,0.8937253,4.0156746,0,2,420910220151219600,2023-08-21,1.4811609,Joinville,597658,19.7142857142857,100,1,0,0,86.2503307142857,71.5714285714286,22.9881907142857,25.8571428571429,1,NA,NA,NA,NA,4209102,18.6919,23.034814285714287,20.537457142857143,169.3195,78.74285714285715,96.45938571428572,88.85075714285715,1.1164667874415415,0.7391540053921537,1.1883765653182419,1.062489170509069,0.668196567835208,0.8075947166862173,1.2307652856433695,0.9646246585954156,1.294225042946199,1.1760333287950382,1.1458456139996616,0.7806633348737939,1.5789781423857434,0.29225492639196954,1.5498101436686864,1.676102727508709,0.4710987539638969,0.5481765998709037,0,-0.6843536935745398,-0.3034380299483301,0.7258321115223314,0.9557667525255767,0.9705677887074409,1.4070706163719442,0.840795479850066,1.1121299776513272,-0.46687468532164345,0.1840789819894852,2015,12,4,1,4
2015-03-29,201513,21,21,21,21,4209102,0.6812485,3.5137153,0,2,420910220151319600,2023-08-21,1.161064,Joinville,597658,18.8571428571429,100,1,0,0,84.2490464285714,65.8571428571429,23.2751208571429,27.4285714285714,0,NA,NA,NA,NA,4209102,17.844985714285713,24.50992857142857,20.985114285714285,290.89259999999996,68.53201428571428,97.57261428571428,85.93585714285715,0.8075446420848804,1.1069136291252861,0.9914924912676226,0.5824478818120953,1.463077640181535,0.523636058688375,1.085433643273403,1.289439532129377,1.197066838535816,0.9596149489087625,1.4927046377420317,0.9388949958100692,1.4280594401009727,0.6603378626792542,1.4453278929937317,1.4453216292875732,0.9328351453903024,0.7062603370736942,0,-0.6622476638169832,-0.3034380299483301,0.2814562335023091,0.7281330986435235,0.9547839717541776,0.9718839943738637,1.0170659884349913,0.8393605245135894,1.1119575133020996,-0.4673421312051813,2015,13,5,1,5
2015-04-05,201514,18,18,18,18,4209102,0.34577757,3.011756,0,2,420910220151419600,2023-08-21,0.88096553,Joinville,597658,18.2857142857143,100,1,0,0,84.0395925714286,64.7142857142857,22.2544525714286,26.1428571428571,2,NA,NA,NA,NA,4209102,17.027442857142855,22.80532857142857,19.59,118.7482,68.77318571428572,95.48182857142857,84.2299,0.65725035796518,1.416443994452362,0.7994093098808049,0.4492879995507132,1.5410387668855317,1.0340324484165513,1.0202539771521533,1.2077437129583046,1.1038825912337566,0.9004961272916292,1.2531647123436305,1.0663241845049232,1.2997045520755557,0.7614386136756827,1.319656712759351,1.2858619736615595,0.9686340445804226,0.8645469412238167,0,-0.6976213657215548,-1.002439674213581,0.42305642176380365,0.2831200075205026,0.7272844461954383,0.9560893073370468,0.2334763722434148,1.015524049707019,0.8392006258102389,1.1111718777953619,2015,14,6,1,6
2015-04-12,201515,23,23,23,23,4209102,0.63621026,3.8483548,0,2,420910220151519600,2023-08-21,1.1100842,Joinville,597658,19.5714285714286,100,1,0,0,86.8140428571429,67.7142857142857,23.4485621428571,27.1428571428571,3,NA,NA,NA,NA,4209102,18.312057142857142,24.147428571428573,20.84895714285714,102.6032,71.69527142857143,98.30545714285714,87.97092857142857,0.38979329540740715,0.8240911425553235,0.49999620896858277,0.14943807612069038,0.9685381661881869,0.8023422363436821,0.797613160819076,1.0258643523959188,0.9023042711402544,0.6464706003280153,1.094534914964394,0.8365932596122448,1.0742152235284916,0.8536760048469927,1.1361205976892506,0.9908552002945622,1.1290368779956153,0.7756023811458005,0,-0.5352570875526869,-0.6408197539971805,-0.018237654865027257,0.42492324347160015,0.2825335696384412,0.7284331061871883,-0.2251226544164044,0.23241001547951545,1.0153560356943896,0.8384699603068569,2015,15,7,1,7
2015-04-19,201516,13,13,13,13,4209102,0.1106863,2.175157,0,2,420910220151619600,2023-08-21,0.65331846,Joinville,597658,20.4285714285714,100,1,0,0,91.0099165714286,78.4285714285714,22.3645847142857,24.4285714285714,5,NA,NA,NA,NA,4209102,18.75427142857143,22.249157142857143,20.196114285714287,266.4004,80.01915714285714,97.26078571428572,90.768814285714285,0.29456929948779603,0.7974359353575686,0.3760750215699316,0.08548584221875405,0.749566242394473,1.0644193574698266,0.7406635545253661,0.9858561494174503,0.8197627270942761,0.6130853573084512,0.9066690899181205,1.158743922922107,0.9775364682547738,1.1388784416065463,1.0510786435746595,0.8671689577629099,1.2573774542738247,1.0851945797888694,0,-1.2143916211956514,-0.6408197539971805,0.37998802138340043,-0.017003627108955657,0.424253251027398,0.2833759362156699,0.7805486010117179,-0.22591067489136613,0.2322780771107031,1.0145898687466208,2015,16,8,1,8
2015-04-26,201517,12,12,12,12,4209102,0.1133023,2.0078373,0,1,420910220151719600,2023-08-21,0.64630806,Joinville,597658,17,100,0,0,0,87.964077142857093,70.1428571428571,20.5004172857143,24,5,NA,NA,NA,NA,4209102,15.525014285714288,21.20517142857143,18.05945714285714,69.9479,70.18028571428572,96.57342857142856,86.14404285714286,0.2648406503925687,1.0255615561632463,0.38125689978257976,0.011998231360605906,0.8335957881829577,1.2242098359166433,0.5625804744539127,1.368315245734379,0.7191246621555156,0.3166611799504055,1.4698302424144827,1.0820114599272543,0.8638360665646893,1.5028076254558376,0.984436248200772,0.6853179763170585,1.5679353802734701,1.2787667734918473,0,-1.2143916211956514,-0.1256516092702468,0.17348473432180944,0.38179308512816384,-0.017413223477412944,0.4251932178734638,1.5326821881004804,0.7791502111533629,-0.2260214998421357,0.2316697276186429,2015,17,9,1,9
2015-05-03,201518,8,8,8,8,4209102,0.06330307,1.3385582,0,1,420910220151819600,2023-08-21,0.52786833,Joinville,597658,16,99.1428571428571,0,0,0,84.60309,67.5714285714286,19.7482872857143,23.4285714285714,3,NA,NA,NA,NA,4209102,14.981257142857142,20.534214285714285,17.311842857142857,256.6678,71.1482,94.88671428571428,85.70152857142857,0.010035744554029568,1.050322286306853,0.18851144445103923,-0.297117149442505,0.9421153364701902,1.0249830286506854,0.3495548071172208,1.5828744607044773,0.5171008451456666,0.07981522461713661,1.589317559645018,1.274305561022575,0.7231476367425903,1.451988165629978,0.847274302364806,0.525590709471549,1.4361743752758616,1.2820152965041895,0,-0.22507330549377402,-0.1256516092702468,-0.5023696745854775,0.17499368253277245,0.38114850621892987,-0.016777425863351535,0.2894412986401061,1.5308273078022299,0.7789930861531055,-0.22653748602299012,2015,18,10,1,10
