index,mae_M0,mae_M1,mae_M2,mae_M3,mae_M4,mae_M5,mae_M6,mae_M7,mae_M8,mae_M9,mae_M10,mae_M11,mae_M12,mae_M13
1,77.77988861390467,78.11557449002309,76.58843100057955,77.72027823577486,78.95320688735137,77.24632478757951,78.5065826064787,146.96155166794836,144.76740692430425,80.05333866114788,79.45269414165811,79.46777756251299,80.5294515723424,78.8256260571109
2,113.96929731005804,114.52715970464278,113.29440536501228,113.9168879216319,120.57573395838041,120.50921908228494,116.6828118757181,163.35065272309677,163.6095953422653,120.1379185819279,119.68738785495178,119.62017116513802,119.18638866187386,121.34219068028001
3,134.08030985175705,136.01913198326045,132.52528338490666,133.5884468617462,143.71829060401157,140.79746987226065,139.17823022078727,177.73545026582417,176.8052952688301,138.17375843938197,140.4152831987839,140.3221860852822,137.86599721215757,144.78263984339097
4,148.4924381427209,152.80031899046875,149.4883127369647,147.50589989745728,163.78259852532852,159.14880003825797,156.906894628426,190.60766591995537,185.68869664272066,145.52511169654085,151.50745035303805,151.4386198722852,144.00957652890648,157.74753062897977
5,148.16510581678614,152.20188973180484,149.4193785042876,147.4022165068795,165.07116665274188,159.0929138152122,157.1439421796598,196.51286291308176,189.2933283739734,150.77934542770336,153.9386684093558,153.86318282513446,151.89045546699765,155.5613244596536
6,144.10178794779952,149.17632935334723,146.51442794909536,143.11437338330495,160.3945679753163,152.79953320593486,153.16079234916552,205.14745112748668,204.61687247827547,144.57038773950478,145.79575725116288,145.72909622967134,144.04704469495022,140.0933368985926
7,143.39909289270548,149.16470903681872,147.09305458394428,141.80324499950956,156.61274717705564,151.89436894285544,150.70033298137932,208.0681876323326,221.5096711774232,150.81005561829897,151.49688493104938,151.34822064034105,149.86818994634504,143.72232433530831
8,138.33311075330582,145.03224241210344,147.41921373521822,136.974052038853,162.3296106717779,159.60292216786044,149.10243295816085,209.83522744705252,239.62764148178027,160.9640584976019,160.52066007427655,160.48506424495014,155.89289167993556,156.6368421111291
